CASEID,v728,v729,v730,v731,v732,v733,v734,v735,v736,v737,v738,v739,v740,v872,v873,v874,v875,v876,v877,v878,v879,v880,v881,v882,v883,v884,v885,v886,v887,v888,v889,v890,v891,v892,v893,v894,v895,v896,v897,v898,v899,v900,v901,v902,v903,v904
 124,1,1,0,1,5,1,1,1,1,3,1,5,1,1,5,1,3,1,1,0,3,0,1,1,0,10," ",0,0,0,0,0,0,0,7,0,0," "," "," ",0,0,0,5,1, 20
 125,1,1,0,1,4,5,0,3,0,5,0,3,0,1,1,3,4,3,1,0,1,1,1,7,0,14," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,1,1,290
 126,3,0,5,4,3,1,1,1,1,5,0,3,0,1,3,1,4,1,1,0,2,0,1,1,0, 4," ",0,0,0,1,0,0,0,0,0,0," "," "," ",0,0,0,1,5,230
 127,1,1,0,1,4,1,1,1,1,5,0,3,0,1,3,3,4,2,1,0,1,1,1,1,0, 4," ",0,0,0,1,0,0,0,0,0,0," "," "," ",0,0,0,1,1,230
 128,5,0,0,3,3,5,0,3,0,5,0,3,0,1,3,2,4,2,1,0,4,0,1,7,0, 1," ",4,2,0,0,0,0,0,0,0,0," "," "," ",0,0,0,5,5,148
 129,5,0,0,3,5,1,1,1,1,5,0,3,0,1,1,3,5,2,5,1,0,0,5,0,2, 0," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,1,5,400
 130,5,0,0,3,3,1,1,1,1,5,0,3,0,1,5,1,2,1,1,0,1,1,1,1,0,22," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,1,5, 20
 131,1,1,0,1,3,5,0,3,0,5,0,3,0,1,3,3,4,2,1,0,2,0,1,2,0, 0," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,1,5,400
 132,1,1,0,1,4,1,1,1,3,5,0,3,0,1,5,3,5,2,1,0,2,0,1,1,0,90," ",0,0,0,0,0,0,0,0,0,0," "," "," ",1,0,0,1,1,305
 133,1,1,0,1,4,1,1,1,3,5,0,3,0,1,5,2,4,2,1,0,1,2,1,2,0, 0," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,1,5,400
 134,1,1,0,1,4,5,0,3,0,5,0,3,0,1,3,2,4,2,1,0,1,1,1,1,0,12," ",0,0,0,0,0,0,0,0,1,0," "," "," ",0,0,0,1,5,292
 135,1,5,0,2,2,5,0,3,0,5,0,3,0,1,1,4,4,2,5,1,0,0,5,0,1,90," ",0,0,0,0,0,0,0,0,0,0," "," "," ",1,0,0,1,1,100
 136,5,0,0,3,2,1,1,1,5,1,5,2,5,1,3,1,4,1,1,0,1,1,1,1,0, 1," ",1,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,1,1,135
 137,1,1,0,1,4,5,0,3,0,5,0,3,0,1,5,4,5,3,1,0,1,1,1,3,0, 0," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,3,0,1,0,503
 138,1,1,0,1,4,1,1,1,1,1,1,1,3,1,5,3,3,1,1,0,4,0,1,1,0, 1," ",1,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,1,5,135
